Sample 113: No. iterations = 512, Error = 0.00265938
Sample 114: No. iterations = 512, Error = 0.003538
Sample 115: No. iterations = 512, Error = 0.00194359
Sample 116: No. iterations = 512, Error = 0.0027569
Sample 117: No. iterations = 512, Error = 0.0041506
Sample 118: No. iterations = 512, Error = 0.00369904
Sample 119: No. iterations = 512, Error = 0.00177265
Sample 120: No. iterations = 512, Error = 0.00134496
Sample 121: No. iterations = 512, Error = 0.00243875
Sample 122: No. iterations = 512, Error = 0.00151208
Sample 123: No. iterations = 512, Error = 0.00327543
Sample 124: No. iterations = 512, Error = 0.00339333
Sample 125: No. iterations = 512, Error = 0.00279697
Sample 126: No. iterations = 512, Error = 0.0026839
Sample 127: No. iterations = 512, Error = 0.00226339
Sample 128: No. iterations = 512, Error = 0.00487811
Sample 129: No. iterations = 512, Error = 0.00280435
Sample 130: No. iterations = 512, Error = 0.00210309
Sample 131: No. iterations = 512, Error = 0.00278259
Sample 132: No. iterations = 512, Error = 0.00237585
Sample 133: No. iterations = 512, Error = 0.501026
Sample 134: No. iterations = 512, Error = 0.00283582
Sample 135: No. iterations = 512, Error = 0.495838
Sample 136: No. iterations = 512, Error = 0.0018967
Sample 137: No. iterations = 512, Error = 0.00108853
Sample 138: No. iterations = 512, Error = 0.00306763
Sample 139: No. iterations = 512, Error = 0.502166
Sample 140: No. iterations = 512, Error = 0.00195075
Sample 141: No. iterations = 512, Error = 0.452243
Sample 142: No. iterations = 512, Error = 0.00262768
Sample 143: No. iterations = 512, Error = 0.00207999
Sample 144: No. iterations = 512, Error = 0.00236801
Sample 145: No. iterations = 512, Error = 0.00299878
Sample 146: No. iterations = 512, Error = 0.00485071
Sample 147: No. iterations = 512, Error = 0.00298686
Sample 148: No. iterations = 512, Error = 0.00314292
Sample 149: No. iterations = 512, Error = 0.00467869
Sample 150: No. iterations = 512, Error = 0.00214476
Sample 151: No. iterations = 512, Error = 0.00334716
Sample 152: No. iterations = 512, Error = 0.00217625
Sample 153: No. iterations = 512, Error = 0.00211904
Sample 154: No. iterations = 512, Error = 0.00330439
Sample 155: No. iterations = 512, Error = 0.00266566
Sample 156: No. iterations = 512, Error = 0.00166619
Sample 157: No. iterations = 512, Error = 0.00199666
Sample 158: No. iterations = 512, Error = 0.00225877
Sample 159: No. iterations = 512, Error = 0.00386175
Sample 160: No. iterations = 512, Error = 0.00234283
Sample 161: No. iterations = 512, Error = 0.00432393
Sample 162: No. iterations = 512, Error = 0.00345133
Sample 163: No. iterations = 512, Error = 0.00356354
